"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"D1";"1N4007 M7";"DIODE-DO-214AC";"DO-214AC";"DIODE";"";"";"";"";"25";"";
"JP1";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"JP2";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"JP3";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"79";"";
"JP4";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"98";"";
"JP5";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"K2";"SRD-05VDC";"ZNS5106";"ZN5";"Miniature Power PCB Relay SCHRACK";"";"";"unknown";"unknown";"0";"";
"PW";"SUPPLY12-V05";"SUPPLY12-V05";"SUPPLY-12V04";"";"";"";"";"";"";"";
"Q2";"STN3NF06L";"N-HEXFET-2D_SOT232-";"SOT223";"HEXFET® Power MOSFET 2 Drain connects";"";"";"";"";"0";"";
"R1";"4k7";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"17";"R";
"R2";"100";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"41";"R";
"R3";"100k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"41";"R";
"R4";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"41";"R";
"X1";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"32";"";
"X2";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"32";"";
"X3";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"32";"";
