Part,Value,Device,Package,Description,LCSC
R1,10k,R-EU_0402/2,0402,RESISTOR,
R2,10k,R-EU_0402/2,0402,RESISTOR,
R3,100k,R-EU_0402/2,0402,RESISTOR,
R4,1k,R-EU_0402/2,0402,RESISTOR,
R5,4k7,R-EU_0402/2,0402,RESISTOR,
R6,22R,R-EU_0402/2,0402,RESISTOR,
R7,0R,R-EU_0402/2,0402,RESISTOR,
C1,100nF,C-EUC0402K,0402,CAPACITOR,
C2,10uF,C-EUC0805K,0805,CAPACITOR,
C3,1uF,C-EUC0402K,0402,CAPACITOR,
C4,100pF,C-EUC0402K,0402,CAPACITOR,
C5,22uF,C-EUC1206K,1206,CAPACITOR,
D1,1N4148W,1N4148W,SOD-123,DIODE,
D2,SS14,SS14,SMA,SCHOTTKY DIODE,
L1,10uH,L-EU0402,0402,INDUCTOR,
FL1,600R@100MHz,BLM18AG601SN1D,0402,FERRITE BEAD,
U1,STM32F103C8T6,STM32F103C8T6,LQFP48,MCU,C8734
J1,USB-B,USB-B,USB-B-TH,USB CONNECTOR,
Q1,IRLML2244,IRLML2244,SOT-23,N-CHANNEL MOSFET,
